Price,close,sma_s,sma_l,position,ret,strat_ret
Ticker,AAPL,,,,,
date,,,,,,
2015-01-02,24.261045455932617,,,0.0,,
2015-01-05,23.577571868896484,,,0.0,-0.028171646117954086,-0.0
2015-01-06,23.57979393005371,,,0.0,9.424469871555097e-05,0.0
2015-01-07,23.910430908203125,,,0.0,0.014022046975058489,0.0
2015-01-08,24.829124450683594,,,0.0,0.03842229134253228,0.0
2015-01-09,24.855758666992188,,,0.0,0.001072700584408226,0.0
2015-01-12,24.24329948425293,,,0.0,-0.024640534652140333,-0.0
2015-01-13,24.458541870117188,,,0.0,0.00887842787257842,0.0
2015-01-14,24.365346908569336,,,0.0,-0.003810323691524453,-0.0
2015-01-15,23.704065322875977,24.178497886657716,,0.0,-0.027140249148711493,-0.0
2015-01-16,23.519874572753906,24.104380798339843,,0.0,-0.00777042872659961,-0.0
2015-01-20,24.125686645507812,24.159192276000976,,0.0,0.025757453377565964,0.0
2015-01-21,24.309865951538086,24.232199478149415,,0.0,0.00763415809616208,0.0
2015-01-22,24.94230079650879,24.33538646697998,,0.0,0.02601556282669204,0.0
2015-01-23,25.071008682250977,24.35957489013672,,0.0,0.0051602250647302395,0.0
2015-01-26,25.09763526916504,24.383762550354003,,0.0,0.0010620468945437,0.0
2015-01-27,24.21887969970703,24.381320571899415,,0.0,-0.035013480753608994,-0.0
2015-01-28,25.58804702758789,24.494271087646485,,0.0,0.05653305788117935,0.0
2015-01-29,26.384695053100586,24.69620590209961,,0.0,0.03113360017877831,0.0
2015-01-30,25.998577117919922,24.925657081604005,,0.0,-0.014634163267893796,-0.0
2015-02-02,26.32478141784668,25.206147766113283,,0.0,0.01254700587833013,0.0
2015-02-03,26.329221725463867,25.426501274108887,,0.0,0.0001686740545612242,0.0
2015-02-04,26.53115463256836,25.648630142211914,,0.0,0.007669535742835798,0.0
2015-02-05,26.720521926879883,25.826452255249023,,0.0,0.007137544405212859,0.0
2015-02-06,26.495508193969727,25.9689022064209,,0.0,-0.008421008149687381,-0.0
2015-02-09,26.671504974365234,26.12628917694092,,0.0,0.00664251385959691,0.0
2015-02-10,27.18390464782715,26.42279167175293,,0.0,0.019211502086380117,0.0
2015-02-11,27.821056365966797,26.64609260559082,,0.0,0.023438565077168905,0.0
2015-02-12,28.17305564880371,26.82492866516113,,0.0,0.012652261589445324,0.0
2015-02-13,28.311180114746094,27.05618896484375,,0.0,0.004902715121291701,0.0
2015-02-17,28.478267669677734,27.271537590026856,,0.0,0.005901822327943673,0.0
2015-02-18,28.676546096801758,27.506270027160646,,0.0,0.006962446923523435,0.0
2015-02-19,28.61639404296875,27.714793968200684,,0.0,-0.002097604559138877,-0.0
2015-02-20,28.850311279296875,27.92777290344238,,0.0,0.008174238724029559,0.0
2015-02-23,29.630062103271484,28.241228294372558,,0.0,0.02702746658176136,0.0
2015-02-24,29.44514274597168,28.518592071533202,,0.0,-0.006240937216239861,-0.0
2015-02-25,28.69214630126953,28.669416236877442,,0.0,-0.025572857676336547,-0.0
2015-02-26,29.055274963378906,28.792838096618652,,0.0,0.012656029921794598,0.0
2015-02-27,28.618623733520508,28.83739490509033,,0.0,-0.015028294532017039,-0.0
2015-03-02,28.758974075317383,28.88217430114746,,0.0,0.004904161119127615,0.0
2015-03-03,28.819120407104492,28.916259574890137,,0.0,0.002091393511798767,0.0
2015-03-04,28.636436462402344,28.912248611450195,,0.0,-0.006338984053694929,-0.0
2015-03-05,28.16191864013672,28.866801071166993,,0.0,-0.016570421493911525,-0.0
2015-03-06,28.204246520996094,28.802194595336914,,0.0,0.0015030183632107619,0.0
2015-03-09,28.324546813964844,28.67164306640625,,0.0,0.004265325538095555,0.0
2015-03-10,27.738632202148438,28.500992012023925,,0.0,-0.020685754150443603,-0.0
2015-03-11,27.2329158782959,28.355068969726563,,0.0,-0.018231480203027783,-0.0
2015-03-12,27.725265502929688,28.22206802368164,,0.0,0.01807921071816554,0.0
2015-03-13,27.533668518066406,28.11357250213623,,0.0,-0.006910555458631618,-0.0
2015-03-16,27.83665657043457,28.021340751647948,26.612771797180176,0.0,0.011004274718036777,0.0
2015-03-17,28.302274703979492,27.96965618133545,26.693596382141113,1.0,0.016726798075292537,0.016476798075292537
2015-03-18,28.620849609375,27.968097496032716,26.794461936950682,1.0,0.011256159044725544,0.011256159044725544
2015-03-19,28.404752731323242,27.992380905151368,26.890961112976075,1.0,-0.007550330650595849,-0.007550330650595849
2015-03-20,28.048303604125977,27.976786613464355,26.973718566894533,1.0,-0.012548925546681189,-0.012548925546681189
2015-03-23,28.34014129638672,27.978346061706542,27.043938903808595,1.0,0.010404825061071099,0.010404825061071099
2015-03-24,28.22429656982422,28.026912498474122,27.111309661865235,1.0,-0.004087655222003828,-0.004087655222003828
2015-03-25,27.486881256103516,28.052309036254883,27.176181297302247,1.0,-0.02612696872343334,-0.02612696872343334
2015-03-26,27.678476333618164,28.04763011932373,27.240579986572264,1.0,0.006970418932926492,0.006970418932926492
2015-03-27,27.457929611206055,28.040056228637695,27.302431640625,1.0,-0.007968167024578365,-0.007968167024578365
2015-03-30,28.153005599975586,28.0716911315918,27.391410446166994,1.0,0.025314217008039153,0.025314217008039153
