metric,value
Total Return,3.9751471697474745
CAGR,0.1598883597052656
Sharpe (ann.),0.877828184001423
Max Drawdown,-0.2590989395911808
Exposure (avg position),0.6177875780962881
Round-trip entries,35.0
Win rate (entry next-day > 0),0.5142857142857142
